,Generator Loss,Discriminator Loss
0,3.8469970541000365,0.6721380515098572
1,3.6333938302993776,0.6558784370422364
2,3.4980144357681273,0.6534883289337158
3,3.4307637758255005,0.6519953422546386
4,3.385880108833313,0.6499767317771912
5,3.357546501159668,0.6485137522220612
6,3.294566802978516,0.6581602694988251
7,3.2381497020721435,0.6480206816196442
8,3.219320958137512,0.650010897397995
9,3.2013546028137205,0.6500756828784943
10,3.169484467506409,0.6504038600921631
11,3.140533754348755,0.6494363305568696
12,3.1116087207794187,0.6486430640220642
13,3.0907847843170164,0.6495503327846527
14,3.062246780395508,0.6485989573001861
15,3.0364145498275756,0.665281763792038
16,2.982490505218506,0.6474575800895691
17,2.9868977155685426,0.6480329275131226
18,2.984257902145386,0.6510155148506165
19,2.9693812980651857,0.6493032069206238
